Season,Episode,Speaker_coded,Emotion_coded,StartTime_int,EndTime_int,Utterance
1,4,144,6,109275,111485,How does she do that?
1,4,197,4,111653,114822,I cannot sleep in a public place.
1,4,144,3,114989,120994,Would you look at her? She is so peaceful.
1,4,178,6,121162,123622,Oh! What what what! ...Hi.
1,4,197,4,123790,125958,"It's okay, y'know, you just nodded off again."
1,4,144,6,126126,128127,What's going on with you?
1,4,178,0,128294,129587,I got no sleep last night!
1,4,197,4,129587,129991,Why?
1,4,178,1,130088,137177,"My grandmother has this new boyfriend, and they're both kind of insecure in bed."
1,4,178,4,137345,138887,"Oh, and deaf."
1,4,178,4,140682,144726,"So they're constantly, like, having to reassure each other that they're having a good time."
1,4,178,1,144894,146937,You have no idea how loud they are!
1,4,144,4,149023,150900,"Well, if you want, you can stay with Rachel and me tonight."
1,4,178,3,150900,152175,Thanks.
1,4,185,3,451451,454119,"So c'mon, you guys, tell me all the dirt!"
1,4,119,4,454287,458123,"Well, the biggest news is still you dumping Barry at the altar!"
1,4,107,4,460293,463380,Alright. Let's talk reality for a second.
1,4,185,4,463380,464064,Okay.
1,4,107,4,464172,466506,When are you coming home?
1,4,185,6,466674,467799,"What? Guys, I'm not."
1,4,107,4,467967,472637,"C'mon, this is us."
1,4,185,4,472805,476308,I'm not! This is what I'm doing now. I've got this job-
1,4,119,6,476476,478143,Waitressing?
1,4,185,4,476476,481062,"Okay, I'm not just waitressing."
1,4,185,4,478311,481062,I'm..
1,4,185,4,483858,485525,"I, um..."
1,4,185,4,486110,489654,"I write the specials on the specials board, and, uh... and I, uh..."
1,4,185,5,489822,502083,"I take the uh dead flowers out of the vase... Oh, and, um, sometimes Artelle lets me put the little chocolate blobbies on the cookies."
1,4,144,3,513471,523021,"Hey, Rach. How was it with your friends?  Okay! How would you like some Tiki Death Punch?"
1,4,185,4,523189,524231,What's that?
1,4,144,4,524398,527359,"Weeeell, it's rum, and-"
1,4,189,4,808641,810393,"Well, you'll have to wait your turn."
1,4,108,4,810393,812961,"Well, how long do you think it'll be?"
1,4,189,4,813312,814896,Any minute now.
1,4,185,5,831121,836209,"I'm so sorry, you guys. I didn't mean to bring you down."
1,4,144,4,836377,841714,"No, you were right. I don't have a plan."
1,4,185,3,845094,847011,Thank God. Food.
1,4,144,4,847179,847861,Phoebe?
1,4,178,4,847861,849441,What?
1,4,144,4,849557,850829,Do you have a plan?
1,4,178,3,850829,853867,I don't even have a 'pl'.
1,4,185,5,859149,867115,"No, no, that's not what we ordered... We ordered a fat-free crust with extra cheese."
1,4,144,6,875791,879127,Wait! Did you say 'G.Stephanopoulos?'
1,4,144,6,885009,889888,"Wait, was this a-a small mediterranean guy with curiously intelligent good looks?"
1,4,144,3,892433,895195,Was he wearing a stunning blue suit?
1,4,178,3,895195,896530,And-and a power tie?
1,4,144,6,899273,901149,Oh God.
1,4,144,6,903611,907447,Are you nuts?! We've got George Stephanopoulos' pizza!
1,4,185,4,912036,912120,Pheebs?
1,4,185,4,912036,915330,"Uh, Pheebs? Who's George Snuffalopagus?"
1,4,178,4,912120,913767,Yeah?
