Season,Episode,Speaker_coded,Emotion_coded,StartTime_int,EndTime_int,Utterance
5,7,4,6,526901,529569,What one? You wanted him to invite you to the party and he did it!
5,7,1,0,529779,532864,"Yeah, but he waited until the last minute!"
5,7,1,0,529779,536868,"So if I said yes, he would know I had nothing better to do than wait around for an invitation to his stupid party."
5,7,1,0,537078,538411,"I said, ""No!"""
5,7,1,4,538621,541456,Which puts
5,7,4,0,541707,544084,Great. So the ball is in his court?
5,7,1,0,544293,547462,Ball? There is no ball.
5,7,2,2,558558,559849,"Joey, please!"
5,7,0,4,560059,561810,Sorry.
5,7,0,0,565523,572320,Ahhh..
5,7,5,3,578411,580328,Hello children!
5,7,0,4,578411,583415,Hey! Wanna play some foosball? Please?
5,7,0,4,584584,592132,"No-no, no! We have to move the table into my room, yeah! 'Cause of all the boxes. Come on!"
5,7,5,4,584584,586209,Okay.
5,7,0,4,597805,599639,"All right, I have one question."
5,7,5,4,603352,606605,Bye-bye little puppet Joey hand?
5,7,0,0,606814,608898,"No, the quiet down thing!"
5,7,5,4,609108,611443,You mean this.
5,7,0,0,614697,621328,"Um-hmm! Look, I-I-I don't know how much more of this I can take! Did you know he taped over my"
5,7,5,4,628210,632881,"All right look, y'know, this maybe tough but come on, this is Ross! I survived college with him!"
5,7,0,4,633466,638720,"All right, I guess I can hold out a little longer. Let's have a game."
5,7,5,4,636552,638720,Okay.
5,7,5,2,639430,641389,No-no-no-no!
5,7,0,3,641557,644809,YES!!
5,7,2,4,644977,646019,"Uh fellas,"
5,7,5,4,652860,654486,"Okay, so he's out of here."
5,7,0,4,660451,661035,Hey!
5,7,4,4,661035,661926,Hey!
5,7,0,6,662036,666122,You guys got anything to eat? I just went down to Johnos for some chicken and it was closed!
5,7,3,1,666332,670877,"Oh, I took Larry there to eat but it was all violated. So we shut it down!"
5,7,0,0,671712,675840,"Pheebs, if this guy keeps closing down all of our favorite places, where are we gonna eat?!"
5,7,4,4,676050,677759,"I don't know, clean places?"
5,7,0,4,677968,679302,"Mm, yum!"
5,7,4,4,685226,686267,It's Danny.
5,7,1,2,686435,688770,Don't let him in! I'm supposed to be at a regatta gala.
5,7,4,0,689730,692315,We'll be right there!  Can't you just say it starts later?
5,7,1,6,693109,696111,What? What kind of a regatta gala starts at night?!
5,7,4,0,696612,697904,The fake kind!
5,7,14,4,702034,704579,"Hey, hi, I need a ladle. You got a ladle?"
5,7,4,4,704579,705793,We have a ladle.
5,7,14,4,708040,709082,"Thanks, see you at the party."
5,7,4,3,709250,710291,"Okay, great!"
5,7,3,4,711752,723763,"Hey, guys, you know what Larry would say? He would say, ""See you ladle."""
5,7,5,4,720302,725223,"Well, I-I-I'm done with this. You want anything Ross? Sports? International? Apartment listings?"
5,7,2,4,725975,727058,I'll take sports.
5,7,0,4,727268,728601,Mine!
5,7,2,4,730312,731896,"All right. Uhh, international."
5,7,0,3,844677,847387,"Oh, it's perfect!"
5,7,2,4,850850,852559,How about you?
5,7,5,4,852726,855311,It's a kitchen slash bathroom.
5,7,2,4,858274,864028,"All right, I see what you guys are saying. I'll uh, I'll go downstairs and fill out an application."
5,7,5,1,868492,870618,We are bad people.
5,7,0,6,871453,879127,He knew we were trying to get rid of him. He knew!  You think we could get a bathtub in our kitchen?
5,7,79,4,884174,885717,"Hey, ready for dinner?"
5,7,3,3,885926,887927,"Ooh, absolutely!"
5,7,79,3,885926,890388,Great! How about you wanted to go the Italian place down on Bleaker Street right?
5,7,3,4,890556,892265,"Ooh, I love that place!  So, no."
5,7,79,4,895477,896519,How about Mama Lisettie's?
5,7,3,4,898063,899856,Enh. Sure!
5,7,79,1,900482,903318,I wonder how long that milk  has been setting out.
5,7,3,4,903944,906154,"Oh, no-no, this place is totally healthy!"
5,7,3,4,906405,908948,That—this milk is mine.
5,7,3,4,906405,912285,"I bought this today, 'cause I was thirsty for milk, y'know."
5,7,3,3,916373,918499,"Okay, let's go!"
5,7,79,0,921045,927675,"Hey, buddy!  Are you familiar with Section 11-B of the Health Code that requires all refuse material out the"
5,7,32,4,927885,930178,But then I'd have to go all the way around the dry cleaner place.
5,7,79,1,930387,933097,"Oh, so you're saying you'd choose convenience over health?!"
5,7,3,0,933599,935850,"Okay, stop!"
5,7,3,4,936018,941606,"Larry, okay, can't you just be Larry and not Larry the health inspector guy?"
5,7,3,0,941815,948404,"Y'know I mean it was really exciting at first but now it's like, okay, so where are we gonna eat ever?"
5,7,79,4,949406,952325,"Well, I suppose I could give him a warning."
5,7,3,3,952493,954160,Thank you.
5,7,3,4,954954,955766,Go!
5,7,3,0,955766,957472,Go!
5,7,3,1,959917,965713,"Now, if after dinner you still really need to bust someone, I know a hot dog vendor who picks his nose."
5,7,1,6,1110192,1113194,"Hey! Oh right, tonight was your party."
5,7,14,3,1113403,1115530,"Oh wow, you look great! Glad you could make it."
5,7,1,4,1115739,1119492,"Oh well, y'know, the gala had to end sometime."
5,7,14,4,1119660,1121577,"Don't go anywhere, I'll be right back."
5,7,1,4,1121745,1127708,"Yeah, sure.  All right, whose court is the ball in now?"
5,7,4,4,1128293,1129919,I thought there wasn't a ball?
5,7,1,4,1131880,1141681,"Oh, come on! He's glad that I came, he doesn't want me to go anywhere, balls flying all over the place!"
5,7,14,4,1140055,1141681,"Rachel, this is my friend Tom."
5,7,1,6,1144726,1147937,"Oh, go on! You telling people about me?"
5,7,14,3,1148147,1152859,You two could really hit it off! I'm gonna go mingle.
5,7,145,4,1154820,1159365,So you work at
5,7,1,4,1165122,1168040,"Yeah, okay, at ease solider!"
5,7,145,6,1169835,1170877,I'm sorry?
5,7,1,4,1171044,1174042,"No, it's all right, you can just drop the act Tommy."
5,7,145,5,1181805,1184473,"I'm gonna go talk to uh, a friend."
5,7,1,1,1184683,1189770,"Yeah, yeah, you go talk to your friend. You tell him, ""Nice try."""
5,7,1,3,1193734,1199447,Man! He just keeps lobbing them up and I just keep knocking them right out of the park!
5,7,4,4,1201491,1202617,I think I need a drink.
5,7,1,3,1202784,1204285,Yeah!
